,run,epoch,train_loss,dev_loss,train_ppl,dev_ppl,epoch_duration,run duration,lr,num_epochs
0,1,1,2.8338214721490984,2.5139013732949347,17.010341321684415,12.35302995285272,7m 37s,7m 37s,0.005,10
1,1,2,2.584728434931379,2.4374583771784013,13.259687732979698,11.443917626276175,7m 36s,15m 29s,0.005,10
2,1,3,2.486528655074684,2.417457110261264,12.019479857385239,11.217298663310784,7m 34s,23m 18s,0.005,10
3,1,4,2.4483291624706447,2.3464355223799407,11.569000641199034,10.448260679241542,7m 34s,31m 8s,0.005,10
4,1,5,2.4227240277933384,2.4146003927270026,11.276535110106243,11.185299737240344,7m 34s,38m 57s,0.005,10
5,1,6,2.382761530045142,2.336785994163931,10.834782165130425,10.347924768659327,7m 33s,46m 46s,0.005,10
6,1,7,2.34345184332341,2.4095135469959206,10.417132883444433,11.128546313356338,7m 34s,54m 35s,0.005,10
7,1,8,2.3153196439895454,2.3555925504802024,10.128159806797239,10.544375085431582,7m 33s,62m 24s,0.005,10
8,1,9,2.3051094657754243,2.324709630175813,10.025275616931177,10.223710997580142,7m 33s,70m 12s,0.005,10
9,1,10,2.2660058428344843,2.3446443219707436,9.640816872412001,10.429562501528538,7m 33s,78m 1s,0.005,10
